[ACTIVE],[Level],[XPCost],[MoneyCost],[Cooldown],,,,,,,,
[StringId],HealActive,[Add],,,,,,,,,,
[Tags],[Above],[Above],[Above],[Above],[HealAmount],[HealDuration],[Display],[Description],,,,
,1,100,200,15,0.4,1,Field Repairs,Gain a instant boost of HP!,,,,
,2,200,250,15,0.425,1,,,,,,
,3,300,300,15,0.45,1,,,,,,
,4,400,350,15,0.475,1,,,,,,
,5,500,400,15,0.5,1,,,,,,
,6,600,450,15,0.525,1,,,,,,
,7,700,500,15,0.55,1,,,,,,
,8,800,550,15,0.575,1,,,,,,
,9,900,600,15,0.6,1,,,,,,
,10,1000,750,15,0.625,1,,,,,,
,11,[Max],[Max],15,0.65,1,,,,,,
,,,,,,,,,,,,
,[UPTags],[UpgradeId],[UPCost],[Level],[Cooldown],[HealAmount],,,,,,
,[IUpgrade],FasterHeals,200,4,-1,0,,,,,,
,[IUpgrade],BiggerHeals,150,4,0,0.05,,,,,,
,,,,,,,,,,,,
[StringId],RapidFireActive,[Add],,,,,,,,,,
[Tags],[Above],[Above],[Above],[Above],[RapidDuration],[Display],[Description],,,,,
,1,100,200,15,5,Rapid Fire,Many rounds per second,,,,,
,2,200,250,15,5,,,,,,,
,3,300,300,15,5,,,,,,,
,4,400,350,15,5,,,,,,,
,5,500,400,15,5,,,,,,,
,6,600,450,15,5,,,,,,,
,7,700,500,15,5,,,,,,,
,8,800,550,15,5,,,,,,,
,9,900,600,15,5,,,,,,,
,10,1000,750,15,5,,,,,,,
,11,[Max],[Max],15,5,,,,,,,
,,,,,,,,,,,,
,[UPTags],[UpgradeId],[UPCost],[Level],[Cooldown],,,,,,,
,[IUpgrade],FasterFire,200,8,-.75,,,,,,,
,,,,,,,,,,,,
[StringId],SentryActive,[Add],,,,,,,,,,
[Tags],[Above],[Above],[Above],[Above],[SentryDamage],[SentryHealth],[SentryMaxAmmo],[SentryAmmoRegen],[SentryShootSpeed],[SentryShootSpread],[Display],[Description]
,1,100,200,30,4,3500,35,7.5,0.12,10,Disposable Sentry,Deploys a friendly turret to cover fire.
,2,200,250,30,4.2,4000,35,7.5,0.12,10,,
,3,300,300,30,4.6,4500,35,7.5,0.12,10,,
,4,400,350,30,5,5000,35,7.5,0.12,10,,
,5,500,400,30,5.4,5500,35,7.5,0.12,10,,
,6,600,450,30,6,6000,35,7.5,0.12,10,,
,7,700,500,30,6.6,6500,35,7.5,0.11,10,,
,8,800,550,30,7.4,7000,35,7.5,0.11,10,,
,9,900,600,30,8.4,7500,35,7.5,0.10,10,,
,10,1000,750,30,9.4,8000,35,7.5,0.10,10,,
,11,[Max],[Max],30,10,9000,35,7.5,0.10,10,,
,,,,,,,,,,,,
,[UPTags],[UpgradeId],[UPCost],[Level],[SentryHealth],[SentryDamage],,,,,,
,[IUpgrade],ReinforcedSentry,500,4,500,0,,,,,,
,[IUpgrade],LargerCaliber,450,4,0,0.50,,,,,,
,,,,,,,,,,,,
[StringId],RegenerativeArmorGadget,[Add],,,,,,,,,,
[Tags],[Above],[Above],[Above],[HealAmount],[Display],[Description],,,,,,
,1,100,200,0.003,Regenerative Armor,Constant healing for constant winning.,,,,,,
,2,200,250,0.0035,,,,,,,,
,3,300,300,0.004,,,,,,,,
,4,400,350,0.0045,,,,,,,,
,5,500,400,0.005,,,,,,,,
,6,600,450,0.0055,,,,,,,,
,7,700,500,0.006,,,,,,,,
,8,800,550,0.0065,,,,,,,,
,9,900,600,0.007,,,,,,,,
,10,1000,750,0.0075,,,,,,,,
,11,[Max],[Max],0.008,,,,,,,,
,,,,,,,,,,,,
,[UPTags],[UpgradeId],[UPCost],[Level],[HealAmount],,,,,,,
,[IUpgrade],EnhancedHealing,250,8,0.0005,,,,,,,
,,,,,,,,,,,,
